name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2023-02-21T00:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,12.2,3.6,160.4,1013,94.3,10,0,0,0,10,Overcast,cloudy,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T01:00:00,24.1,24.1,23.1,94.15,0,0,,0,0,6.5,0,157.1,1012,0,10,0,0,0,10,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T02:00:00,24.1,24.1,23.6,97.4,0,0,,0,0,5.4,3.2,360,1011.2,40.7,15.4,0,0,0,10,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-21T03:00:00,24.1,24.1,22.1,88.6,0,0,,0,0,4.3,5.4,60,1011,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T04:00:00,24.1,24.1,22.1,88.6,0,0,,0,0,4.3,5.4,20,1011,0,10,0,0,0,10,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T05:00:00,24.2,24.2,23.5,96.05,0,0,,0,0,5.4,0.1,80,1010.9,89.1,12.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-21T06:00:00,23.1,23.1,22.1,94.11,0,0,,0,0,6.5,1.8,71.1,1011,30,10,0,0,0,3,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T07:00:00,23.1,23.1,22.1,94.11,0,0,,0,0,6.8,5.4,40,1012,50,10,0,0,0,10,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T08:00:00,26.5,26.5,23.9,85.62,0,0,,0,0,10.8,5.2,103,1012.4,53.2,10.2,75.1,0.3,1,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-21T09:00:00,25.1,25.1,22.1,83.46,0,0,,0,0,12.6,9.4,80,1013,30,10,271.8,1,3,10,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T10:00:00,30,35.2,24,70.25,0,0,,0,0,13.3,3.7,40,1013,29.7,10,527.3,1.9,5,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-21T11:00:00,30.2,35.6,24.2,70.67,0,0,,0,0,19.8,8.9,284,1012.3,12.4,12.9,735.1,2.6,7,10,Clear,clear-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-21T12:00:00,30.1,34.3,23,66.01,0,0,,0,0,24.8,9.3,290,1011,30,10,872.6,3.1,9,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-21T13:00:00,31.1,34.7,22.1,58.87,0,0,,0,0,22.7,9.4,320,1010,30,10,879.7,3.2,9,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-21T14:00:00,30.8,36,23.8,66.01,0,0,,0,0,24.8,10.7,320,1009.7,12.8,19.9,823.9,3,8,10,Clear,clear-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-21T15:00:00,30.1,35.3,24.1,70.21,0,0,,0,0,26.6,18.3,320,1009,30,10,630.5,2.3,6,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-21T16:00:00,31.1,37.9,25,70.39,0,0,,0,0,28.1,18.3,340,1009,30,10,590.7,2.1,6,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-21T17:00:00,30.2,36.1,24.6,72.13,0,0,,0,0,28.1,14.3,339,1009.4,30.4,19.8,393.7,1.4,4,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-21T18:00:00,29.1,33.7,24.1,74.43,0,0,,0,0,24.8,3.8,350,1010,30,10,223.1,0.8,2,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-21T19:00:00,28.1,32.1,24.1,78.93,0,0,,0,0,25.2,7.6,350,1010,30,10,41.4,0.1,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T20:00:00,27.9,32.1,24.6,82.3,0.012,100,rain,0,0,17.6,9.1,6,1011.2,12.7,19.8,0,0,0,10,Rain,rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-21T21:00:00,27.1,30.2,24,83.63,0,0,,0,0,18,3.7,10,1012,58.3,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-21T22:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,15.5,11.2,20,1012,40.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-21T23:00:00,26.5,26.5,23.5,83.68,0,0,,0,0,15.5,3.9,23,1011.8,10.1,19.9,0,0,0,10,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T00:00:00,25.1,25.1,22.1,83.46,0,0,,0,0,15.1,11.2,40,1012,23.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T01:00:00,25.1,25.1,23.1,88.68,0,0,,0,0,10.8,11.2,40,1012,15.9,10,0,0,0,10,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T02:00:00,24.8,24.8,22.2,85.19,0,0,,0,0,7.9,0.3,3,1010.6,10,19.8,0,0,0,10,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T03:00:00,23.1,23.1,22.1,94.11,0,0,,0,0,6.8,13,40,1011,52.3,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T04:00:00,23.1,23.1,22.1,94.11,0,0,,0,0,8.3,11.2,30,1010,39.1,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T05:00:00,23.2,23.2,21.4,89.89,0,0,,0,0,11.2,2.5,6,1010.7,10,15.4,0,0,0,10,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T06:00:00,23,23,22,94.11,0,0,,0,0,13.7,1.9,40,1011,0,8,0,0,0,10,Clear,clear-night,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T07:00:00,24,24,22,88.66,0,0,,0,0,14,1.9,40,1012,30,10,0,0,0,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T08:00:00,25.2,25.2,21.7,81.04,0,0,,0,0,17.6,7.4,45,1012.4,10.2,14.6,83.3,0.3,1,10,Clear,clear-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T09:00:00,27,28.9,21.1,69.84,0,0,,0,0,20.2,5.5,20,1012,0,10,296.6,1.1,3,10,Clear,clear-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T10:00:00,29,32.1,22,65.98,0,0,,0,0,21.6,7.7,50,1012,30,10,570.8,2.1,6,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T11:00:00,30.2,32.5,20.6,56.41,0,0,rain,0,0,21.2,5.5,23,1012,38.8,19.8,731.5,2.6,7,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T12:00:00,31.1,33.8,21,55.3,0,0,,0,0,19.8,9.4,321,1010,30,10,860.6,3.1,9,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T13:00:00,32.1,35,21,52.13,0,0,,0,0,18.4,11.1,270,1009,30,10,991.8,3.6,10,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T14:00:00,31.2,34.1,21.2,55.51,0,0,,0,0,17.6,12.5,265,1009.6,27.8,19.9,976.9,3.5,10,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T15:00:00,32.1,33,18.1,43.39,0,0,,0,0,18,9.4,300,1009,30,10,825.8,3,8,10,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T16:00:00,31.1,33.1,20,51.96,0,0,,0,0,19.4,12.9,290,1008,30,10,672.1,2.4,7,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T17:00:00,29.6,32,21,59.81,0,0,,0,0,20.5,12.5,320,1009.5,10.7,19.8,438.2,1.6,4,10,Clear,clear-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T18:00:00,28.1,30.2,21.1,65.74,0,0,,0,0,20.9,11.2,320,1010,30,8,241.1,0.9,2,10,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-02-22T19:00:00,28.1,31.4,23.1,74.31,0,0,,0,0,18.4,9.4,350,1009,30,10,45.3,0.2,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T20:00:00,28.1,30.9,22.3,70.63,0,0,,0,0,12.6,12,315,1011.5,53.4,12.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-22T21:00:00,26.1,26.1,22.1,78.65,0,0,,0,0,10.1,3.6,360,1011,30.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T22:00:00,26.1,26.1,22.1,78.65,0,0,,0,0,9.4,11.2,20,1012,35.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-22T23:00:00,26.8,28.3,20.3,67.77,0.001,100,rain,0,0,9.7,8.9,359,1012.5,74.5,12.8,0,0,0,10,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-02-23T00:00:00,24.1,24.1,22.1,88.6,0,0,,0,0,10.8,11.2,40,1013,42.1,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-02-23T01:00:00,24.1,24.1,20.1,78.36,0,0,,0,0,15.1,9.4,40,1012,36.2,10,0,0,0,10,Partially cloudy,partly-cloudy-night,43450099999
